date,stock,factor_value,factor_name,return
2026-01-01,A,0.8,factor_momentum,0.05
2026-01-01,B,0.3,factor_momentum,0.01
2026-01-01,C,0.1,factor_momentum,-0.02
2026-01-01,A,0.6,factor_value,0.02
2026-01-01,B,0.2,factor_value,0.01
2026-01-01,C,-0.1,factor_value,-0.01
2026-01-02,A,0.7,factor_momentum,0.04
2026-01-02,B,0.4,factor_momentum,0.02
2026-01-02,C,0.2,factor_momentum,-0.01
2026-01-02,A,0.5,factor_value,0.03
2026-01-02,B,0.3,factor_value,0.02
2026-01-02,C,-0.2,factor_value,-0.02
2026-01-03,A,0.9,factor_momentum,0.06
2026-01-03,B,0.5,factor_momentum,0.03
2026-01-03,C,0.1,factor_momentum,-0.03
2026-01-03,A,0.7,factor_value,0.04
2026-01-03,B,0.4,factor_value,0.03
2026-01-03,C,-0.3,factor_value,-0.03
