scope,year,factor_name,horizon,mean_rank_ic,positive_rank_ic_ratio,Q5-Q1
full,,volatility_20,1,0.056128911790351926,0.6121883656509696,-0.00022777426462664284
full,,volatility_20,5,0.0705544895412923,0.628808864265928,0.0008205998592704103
full,,volatility_20,10,0.07001067599774956,0.6320224719101124,0.0027377718741716643
full,,volatility_20,20,0.05333749246690622,0.569364161849711,-0.0006095029213645855
full,,volatility_20,40,0.05723288863987535,0.5766871165644172,-0.02581023869172085
full,,volatility_60,1,0.0421012298303432,0.5706371191135734,-0.00047970835888627624
full,,volatility_60,5,0.05427809555860541,0.6038781163434903,-0.0008923577151870608
full,,volatility_60,10,0.051447484616275845,0.5674157303370787,-0.0028836596044666332
full,,volatility_60,20,0.04776087295567304,0.5838150289017341,-0.01289473434543127
full,,volatility_60,40,0.045984836175415995,0.5460122699386503,-0.022781180894737126
year,2024.0,volatility_20,5,0.0585998889130941,0.6341463414634146,0.0001948712338880742
year,2024.0,volatility_60,5,0.05439008674770027,0.5934959349593496,0.00116434890690811
year,2025.0,volatility_20,5,0.07673270751300817,0.6260504201680672,0.0011439806194469956
year,2025.0,volatility_60,5,0.05422021775919925,0.6092436974789915,-0.0019552775240849855
