factor_name,period,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations
momentum_20,1,-0.032573849706707576,-0.057908774774239585,0.27952121520282724,0.20929777371507277,-0.1165344450977405,-0.2766812744653157,0.4487534626038781,-2.2141544568570692,0.026818155583392622,361
momentum_20,5,-0.05842645741508811,-0.06881941796489072,0.24756873621376568,0.21002146506184238,-0.2360009519321503,-0.3276780206472054,0.4265927977839335,-4.484018086710856,7.325044941719483e-06,361
momentum_20,10,-0.06305609626029605,-0.06716495381179283,0.22962355143169838,0.20367147148023537,-0.27460639758919553,-0.3297710441411066,0.4241573033707865,-5.18126314719701,2.2038831248849533e-07,356
momentum_20,20,-0.08393389154679255,-0.08697625704962172,0.2035587730787471,0.19690689708621573,-0.4123324692781606,-0.44171259786567635,0.3872832369942196,-7.669827284005471,1.7319479184152442e-14,346
momentum_20,40,-0.06826805219026466,-0.07750143774836045,0.17362362440554818,0.17505548185301253,-0.3931956404204815,-0.44272499740074106,0.37423312883435583,-7.099332123269714,1.2536638394067268e-12,326
momentum_60,1,-0.025253747613024402,-0.04908027735275881,0.2535865103402078,0.2131989701504676,-0.09958632097245378,-0.23020879190044793,0.4487534626038781,-1.892140098476622,0.05847231693282051,361
momentum_60,5,-0.05341896859148765,-0.07364492579499289,0.23704335684878722,0.21511672429198442,-0.22535526538954748,-0.34234867622394816,0.4376731301939058,-4.281750042401402,1.8542920600328472e-05,361
momentum_60,10,-0.06389958069959847,-0.09081189271877109,0.22905052669973608,0.20797726513318313,-0.27897591688739,-0.4366433641706826,0.41292134831460675,-5.263707072427657,1.4117932911617004e-07,356
momentum_60,20,-0.07236343890067737,-0.10778125277757317,0.19176017099122888,0.1768205388193317,-0.37736428021847807,-0.6095516589715848,0.3872832369942196,-7.019381368378861,2.2284396550276142e-12,346
momentum_60,40,-0.07799252009547103,-0.11743719676448014,0.1805283240634434,0.18956066513374603,-0.43202373090253676,-0.619523025421025,0.32515337423312884,-7.800391549436534,6.217248937900877e-15,326
volatility_20,1,0.013410197715676576,0.056128911790351926,0.27019891247524785,0.25223813680679263,0.04963083527179276,0.2225234950627038,0.5263157894736842,0.9429858701640624,0.3456881303233468,361
volatility_20,5,0.0463062920905316,0.0705544895412923,0.25232764165942945,0.2436674229444255,0.18351652552213019,0.28955240995586035,0.5734072022160664,3.4868139849204733,0.0004888112166758773,361
volatility_20,10,0.05749398272089858,0.07001067599774956,0.24126040062287007,0.2390018854359615,0.2383067530869734,0.2929293878583578,0.5955056179775281,4.496362824528358,6.912574068040911e-06,356
volatility_20,20,0.05546738510700535,0.05333749246690622,0.22267286116892498,0.2369747610715525,0.2490980931211301,0.22507668000475978,0.5635838150289018,4.633492371723276,3.595480142504215e-06,346
volatility_20,40,0.026733615808759954,0.05723288863987535,0.23605572340988304,0.25736460582962,0.11325129262949567,0.2223805734878888,0.5429447852760736,2.0448053261897674,0.040874054463435616,326
volatility_60,1,0.007637340501293815,0.0421012298303432,0.26539672973610706,0.27817971769301747,0.028777070873811747,0.15134543301537032,0.5152354570637119,0.5467643466024232,0.5845406405093425,361
volatility_60,5,0.029643229842062573,0.05427809555860541,0.2633748142953116,0.26864389475284983,0.11255149783921559,0.20204477607258042,0.5844875346260388,2.1384784589450962,0.03247793060927373,361
volatility_60,10,0.02898643279739289,0.051447484616275845,0.2620429485377654,0.2601548002159676,0.11061710669621547,0.19775719907365422,0.5533707865168539,2.0871193949095774,0.0368773432910825,356
volatility_60,20,0.019239533966447477,0.04776087295567304,0.2500295572937292,0.26604899549399275,0.07694903824448762,0.17951908770409716,0.5260115606936416,1.4313348498573142,0.1523342705477373,346
volatility_60,40,0.010697878056486854,0.045984836175415995,0.22875997547333227,0.2762821254644739,0.046764640686604554,0.1664415897268353,0.49693251533742333,0.8443575709652855,0.3984696242415775,326
volume_change_20,1,-0.04760182277342199,-0.05843889978742911,0.2419731926357871,0.17526034262378365,-0.19672353889660513,-0.3334405200432301,0.3961218836565097,-3.7377472390354978,0.0001856764705781,361
volume_change_20,5,-0.04415371934797743,-0.05667908128374936,0.22556605236738322,0.18333436533636627,-0.19574629641548866,-0.30915688490676263,0.4265927977839335,-3.7191796318942845,0.00019987087680495286,361
volume_change_20,10,-0.0553338561830676,-0.05516729160449373,0.19307746068121853,0.16867575931973247,-0.2865888953989655,-0.3270611724351076,0.3398876404494382,-5.407348463701567,6.39646207112321e-08,356
volume_change_20,20,-0.059898933522352364,-0.06611882996413433,0.16796212533170718,0.15780509232714393,-0.3566216693439571,-0.4189904710239904,0.3439306358381503,-6.6335465028747675,3.277156324088537e-11,346
volume_change_20,40,-0.04660784378697236,-0.05777226320591538,0.16370326934218993,0.16857450314804265,-0.28470930345042594,-0.34271056492558427,0.3343558282208589,-5.1405603114465945,2.739203788237887e-07,326
