year,factor_name,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,effective_trading_days,average_cross_section_size
2018,momentum_20,-0.07523754822407744,-0.06805307443345246,0.18540979125233542,0.17644307714791602,-0.4057905880584381,-0.3856942167042468,0.34080717488789236,-6.059745729200961,1.3633689732728271e-09,223,223,113.8609865470852
2019,momentum_20,-0.03861520633978228,-0.0959904830088746,0.16293875066622265,0.15230889842226747,-0.23699215921254296,-0.6302355542139543,0.4016393442622951,-3.701935869364364,0.00021396070575274706,244,244,121.22950819672131
2020,momentum_20,-0.010882876025035456,-0.0229742073630781,0.17839241001618697,0.17899891859566874,-0.06100526375560466,-0.12834830256697433,0.4691358024691358,-0.9509779471846267,0.3416155707749602,243,243,130.21399176954733
2021,momentum_20,-0.00741463784658523,-0.026971917268432358,0.15911120761514616,0.169456483935435,-0.046600349263387866,-0.15916721887554913,0.5020576131687243,-0.7264275531717842,0.46757670515626737,243,243,153.20164609053498
2022,momentum_20,-0.037413399427616664,-0.04388071542770915,0.1459894943341017,0.14643238928889046,-0.25627460111612477,-0.2996653652979648,0.43388429752066116,-3.986697182491966,6.699944843013839e-05,242,242,170.0495867768595
2023,momentum_20,-0.01736733191044888,-0.03411605754945324,0.17431967006729443,0.139746490942479,-0.09962921512956276,-0.24412818754422774,0.4628099173553719,-1.5498668596929583,0.12117347537199841,242,242,184.61570247933884
2024,momentum_20,-0.06764743675537124,-0.07457116641157348,0.1831504899698398,0.19561720917732586,-0.36935438592881215,-0.3812096426750223,0.3347107438016529,-5.745805800927636,9.148425572647056e-09,242,242,192.9917355371901
2025,momentum_20,-0.03480141245784646,-0.08730425597861506,0.1618429719708958,0.1521475246769794,-0.2150319660720565,-0.5738131866684558,0.42857142857142855,-3.317351601957463,0.000908751764742366,238,238,198.6638655462185
2018,momentum_60,-0.046317394567156785,-0.012115398509460841,0.17248834075322814,0.1648608494993582,-0.26852478471818075,-0.0734886332701325,0.3825136612021858,-3.6325359573518323,0.00028064945324590695,183,183,112.95628415300547
2019,momentum_60,-0.02148166857140483,-0.061836399354480785,0.1438796210957276,0.13982200235953168,-0.14930306604791796,-0.44225084973019907,0.4180327868852459,-2.332188446425242,0.019690779709110373,244,244,120.24180327868852
