factor_name,horizon,lag,mean_rank_ic,naive_t_stat,HAC_t_stat,naive_p_value,HAC_p_value
volatility_20,5,4,0.06556505256578384,15.74469236165765,8.664776132711694,0.0,0.0
volatility_20,10,9,0.07257312733402363,17.65273194001057,6.932670254279751,0.0,4.129585562395732e-12
volatility_20,20,19,0.07881564503717531,19.059924800833752,5.599991827328579,0.0,2.143619104444383e-08
volatility_20,40,39,0.08977970261522603,22.754018387636286,5.213003981886359,0.0,1.8580690630543018e-07
momentum_20,5,4,-0.0565645675499566,-14.863541857933196,-8.62660703790728,0.0,0.0
momentum_20,10,9,-0.06571806828581946,-18.241474119400557,-7.763984800133484,0.0,8.215650382226158e-15
momentum_20,20,19,-0.07067222373344914,-19.470015990648033,-6.302845188139036,0.0,2.9223068409578445e-10
momentum_20,40,39,-0.06226369190497904,-16.988590091324703,-4.645131603781451,0.0,3.3985973373340528e-06
momentum_60,5,4,-0.05168753204194955,-13.370806798286344,-7.5164267691887865,0.0,5.639932965095795e-14
momentum_60,10,9,-0.06305842920458736,-16.864356576151682,-6.844298873616007,0.0,7.685185821060259e-12
momentum_60,20,19,-0.06879075098565432,-18.612834425858754,-5.608671435792475,0.0,2.038856727892835e-08
momentum_60,40,39,-0.06910928248783937,-19.637088958641986,-4.649778167506247,0.0,3.322922383919291e-06
