model,weighting_method,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
Model_A,equal_weight,-0.15856301077163404,-0.03674865523570592,0.21767276014192982,-0.0629788108771926,-0.5169963096316865,472.5599132460325,0.4725599132460325,-0.09954958631115318,-0.006664951947629376,-0.024460225686410916,0.2724812122781085,0.07284068384299065,-0.013195694954179852
Model_A,rolling_ic_weight,-0.01725675307449759,-0.0037679791110266647,0.2212518819910936,0.09469680408475163,-0.4723236648689457,503.80632491762526,0.5038063249176253,-0.09954958631115318,0.02799566576875893,0.10363993128695811,0.27012431811870435,0.1181542827913379,0.02178410358073289
Model_A,rolling_icir_weight,-0.017581269927280263,-0.0038393314573577086,0.22685537551028231,0.09762521909002121,-0.5002483933872576,527.3885366954864,0.5273885366954865,-0.09954958631115318,0.029190625382406077,0.10659869019066126,0.27383662341625437,0.12597122202740496,0.02303412430454624
Model_B,equal_weight,0.8365939729422611,0.1410513283228232,0.19368065667152834,0.7787994763381442,-0.2344067468849944,106.04473450694677,0.10604473450694676,-0.07972928424756909,0.15321348118219352,0.6011186208771986,0.2548806106831504,0.062479104348543216,0.15098678731296877
Model_B,rolling_ic_weight,0.8365939729422611,0.1410513283228232,0.19368065667152834,0.7787994763381442,-0.2344067468849944,106.04473450694677,0.10604473450694676,-0.07972928424756909,0.15321348118219352,0.6011186208771986,0.2548806106831504,0.062479104348543216,0.15098678731296877
Model_B,rolling_icir_weight,0.8365939729422611,0.1410513283228232,0.19368065667152834,0.7787994763381442,-0.2344067468849944,106.04473450694677,0.10604473450694676,-0.07972928424756909,0.15321348118219352,0.6011186208771986,0.2548806106831504,0.062479104348543216,0.15098678731296877
Model_C,equal_weight,0.32483033776589565,0.06290044164915343,0.19937406847419348,0.40599499143901,-0.34612934548193064,309.1074795855686,0.3091074795855686,-0.09954958631115318,0.08798869286980647,0.33924212929604475,0.2593684135056876,0.06238812841732698,0.08138432394799294
Model_C,rolling_ic_weight,0.27200068034859104,0.05356153371541894,0.19882185347671746,0.36252170633736064,-0.3090440229552409,398.3125510706112,0.3983125510706112,-0.09954958631115318,0.07912105722600205,0.3095779988300715,0.25557713249975456,0.0899343083476722,0.07271071862756696
Model_C,rolling_icir_weight,0.20044679860745873,0.040415701670644566,0.20729188701949955,0.2957708712369137,-0.32108284858267866,439.10652076593544,0.4391065207659355,-0.09954958631115318,0.06835472167056697,0.26296333842518005,0.2599401197137436,0.10886543069817746,0.06207773048367406
Model_D,equal_weight,0.1302213395198346,0.026903027783278022,0.20891582501183023,0.23167299405508607,-0.42147948195465035,320.90524711926867,0.3209052471192687,-0.09954958631115318,0.05544397433244485,0.21123258090324742,0.2624783264748363,0.09852837134796626,0.049094170763814234
Model_D,rolling_ic_weight,0.23968266917585646,0.04769776754458688,0.20698846988650854,0.32940084969911443,-0.32118404716457605,382.1411128609143,0.3821411128609143,-0.09954958631115318,0.07522599750500122,0.28759948328494317,0.2615651344215735,0.09339183829930447,0.0688400131239677
Model_D,rolling_icir_weight,0.13628327028755827,0.028094986383402132,0.21265306331948441,0.23763691016301317,-0.3542581290855369,425.78119192679685,0.42578119192679686,-0.09954958631115318,0.057578036550407594,0.2174018652541331,0.2648461018634842,0.10372651305568055,0.051264847754462856
Model_E,equal_weight,-0.3354765835372714,-0.0848163441849098,0.2253530115094694,-0.28037623382200794,-0.5982781918933351,431.57314647969554,0.4315731464796956,-0.09954958631115318,-0.05613980900100691,-0.20425009336544164,0.2748581803610845,0.10625616280373536,-0.062435179400357615
Model_E,rolling_ic_weight,0.019733861587551305,0.004246946055463274,0.22390540814562757,0.13213155514949032,-0.4779820308022621,476.38633298785,0.47638633298785,-0.09954958631115318,0.03662878943112887,0.13469103821231548,0.27194674506399136,0.12122866310094839,0.0304388826235284
Model_E,rolling_icir_weight,-0.04150895727683479,-0.009151973160889115,0.22774351046614452,0.0748473809303209,-0.505195175179753,504.0491321391119,0.5040491321391118,-0.09954958631115318,0.024089824928733756,0.08766484739159094,0.2747945801026344,0.12403423109531482,0.0179196800360915
