fold,model,weighting_method,train_start,train_end,test_start,test_end,factor_weights,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
0,Model_A,equal_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.08587848046489532,0.17913207433675016,0.15456036468615447,1.1431126702897683,-0.0827185657071089,50.75281503544581,0.05075281503544581,-0.03006385070671025,0.22122861535304073,0.9930255327564907,0.22278240393169257,0.11203438163980257,0.18167089772028777
1,Model_A,equal_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.07369649492342989,-0.14196181648286066,0.2064771072404496,-0.6380148544803147,-0.17154085162258004,52.074520595891556,0.05207452059589157,-0.16369103664913054,0.20950682397619153,0.7864532777008048,0.2663944952822684,0.059660116452243964,-0.11137690703783044
2,Model_A,equal_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.0647738212085216,-0.12535199450308965,0.2550507828183668,-0.3967966433565354,-0.1924047071687297,50.93222390720195,0.050932223907201965,-0.08284925153967948,0.053324306920190176,0.1717913213495743,0.31040163438571927,0.07601897121385232,-0.08945626522308588
3,Model_A,equal_weight,2019-08-20,2022-09-28,2022-09-29,2023-04-10,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.02296220314147379,0.04645166905605791,0.15982909590943026,0.3635769853437646,-0.09819854146376983,52.85771526001705,0.05285771526001704,0.07211306157948782,-0.09564621752408996,-0.4276073364922406,0.22367768127810309,0.08186546204695105,0.045522842264502004
4,Model_A,equal_weight,2020-03-02,2023-04-10,2023-04-11,2023-10-18,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.1312366451331427,-0.245250233240483,0.15133045837783854,-1.7832511494048033,-0.1385683396982469,54.881477755421415,0.05488147775542141,-0.12040264957452318,-0.022910353275133986,-0.11532781909027941,0.19865417950199518,0.06849166490662738,-0.25294620674353596
5,Model_A,equal_weight,2020-09-02,2023-10-18,2023-10-19,2024-04-24,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.09010671547202675,-0.1720942107708967,0.2758415478095335,-0.5471559952500893,-0.2603000426322579,49.83344646015879,0.04983344646015879,-0.024638700707364403,-0.11197625232198033,-0.3713909894689767,0.30150503242441756,0.1649480092903392,-0.14450328456091943
6,Model_A,equal_weight,2021-03-15,2024-04-24,2024-04-25,2024-11-01,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.016551207805906465,0.033376358091647296,0.31571882114896405,0.25856915579502154,-0.29195297595612024,48.72491669751945,0.048724916697519445,0.10461094609866994,-0.1473893005914812,-0.39683826719427745,0.3714089914603039,0.18748457134211682,0.038696598284610875
7,Model_A,equal_weight,2021-09-14,2024-11-01,2024-11-04,2025-05-13,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.009136283439670656,-0.01818909520425127,0.24008852036008604,0.04434449749552192,-0.15489277647252186,49.741583688952105,0.04974158368895211,0.0016041048632153831,-0.009396836387481195,-0.02995170925856116,0.3137328927161404,-0.10953450092586499,0.01284205311600314
8,Model_A,equal_weight,2022-03-28,2025-05-13,2025-05-14,2025-11-14,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.14396751526333706,0.3086616759777734,0.13628772967227548,2.042460137869254,-0.0707632814305772,51.02229492650545,0.051022294926505445,0.18784167381026795,-0.07552471510222472,-0.35849062946699667,0.2106741680096765,-0.18229419376520045,0.3428737950599689
9,Model_A,equal_weight,2022-09-29,2025-11-14,2025-11-17,2025-12-24,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.04002042921687243,-0.30759862970323126,0.18008387768548256,-1.9523930241897278,-0.06577126709314784,11.738918918918916,0.011738918918918918,0.0012791315733753361,-0.37206782553825746,-1.6647346147895865,0.22349978322838254,0.027735512451069325,-0.35216234455554823
0,Model_A,rolling_ic_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,"{""volatility_20"": 0.0930470396991313, ""volume_change_20"": -0.9069529603008687}",0.13707915133530535,0.29294899640141825,0.16677775059990754,1.6241498614795353,-0.09221414310955589,59.899758955413716,0.0598997589554137,-0.03006385070671025,0.3154207646903986,1.3219663838573503,0.23859968645347548,0.06121760857476894,0.27359922566822453
1,Model_A,rolling_ic_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,"{""volatility_20"": 0.21361962720935337, ""volume_change_20"": -0.7863803727906465}",-0.12706179861421696,-0.23797889656135407,0.23435631982755545,-1.0415479333186966,-0.21096852747209827,56.677510437591074,0.05667751043759108,-0.16369103664913054,0.09714894492915752,0.34429239510467213,0.28216988324596076,0.11617311997772396,-0.2044501596010366
